TRP-10003|Noruega|Francia|467.1|3|en_curso|Oscar Nunez|11097684|54789005|28/06/2026
TRP-10004|Bogota|Paracas|11.1|2|completado|Jhonny Tapia|68815189||28/06/2026
TRP-10004|Quito|Siria|133.32|2|completado|Jhonny Tapia|68815189||28/06/2026
TRP-10004|Rusia|Peru|116.9|3|completado|Jhonny Tapia|68815189||28/06/2026
TRP-00001|Lima|Piura|58.45|1|completado|Yerson Farfan|23550241|12345611|09/04/2026
TRP-00002|Lima|Rome|59.86|2|completado|Yerson Farfan|23550241|87654312|11/05/2026
TRP-00003|Tacna|Cajamarca|59.19|2|completado|Yerson Farfan|23550241|23456712|23/03/2026
TRP-00004|Arequipa|Huanuco|58.92|1|completado|Yerson Farfan|23550241|34567813|19/05/2026
TRP-00005|Lima|Rome|60.63|1|completado|Yerson Farfan|23550241|45678914|21/03/2026
TRP-00006|Iquitos|Piura|58.64|1|completado|Yerson Farfan|23550241|56789015|01/05/2026
TRP-00007|Piura|London|60.49|3|completado|Yerson Farfan|23550241|67890116|05/04/2026
TRP-00008|Iquitos|Paris|59.75|2|completado|Yerson Farfan|23550241|78901217|27/04/2026
TRP-00009|Barcelona|Junin|58.32|3|completado|Yerson Farfan|23550241|89012318|05/05/2026
TRP-00010|Chiclayo|Lima|58.08|1|completado|Yerson Farfan|23550241|90123419|26/04/2026
TRP-00011|London|Junin|58.2|1|completado|Yerson Farfan|23550241|11223520|14/03/2026
TRP-00012|Iquitos|Barcelona|58.91|2|completado|Yerson Farfan|23550241|22334621|04/03/2026
TRP-00013|Arequipa|Iquitos|57.88|3|completado|Yerson Farfan|23550241|33445722|07/04/2026
TRP-00014|Lima|Madrid|59.72|1|completado|Yerson Farfan|23550241|44556823|06/03/2026
TRP-00015|Lima|Trujillo|59.55|3|completado|Yerson Farfan|23550241|55667924|22/04/2026
TRP-00016|Arequipa|Chiclayo|62.01|2|completado|Yerson Farfan|23550241|66778025|01/03/2026
TRP-00017|Trujillo|Piura|75.01|3|completado|Diego Escobar|57247111|77889126|11/03/2026
TRP-00018|Arequipa|Cusco|72.82|3|completado|Diego Escobar|57247111|88990227|27/03/2026
TRP-00019|Iquitos|Madrid|73.22|2|completado|Diego Escobar|57247111|99001328|26/03/2026
TRP-00020|Barcelona|Amsterdam|74.52|1|completado|Diego Escobar|57247111|10111429|27/04/2026
TRP-00021|Trujillo|Chiclayo|72.52|2|completado|Diego Escobar|57247111|21323530|23/03/2026
TRP-00022|Huancayo|Amsterdam|73.53|2|completado|Diego Escobar|57247111|32434631|05/04/2026
TRP-00023|Tacna|Trujillo|74.78|2|completado|Diego Escobar|57247111|43545732|15/03/2026
TRP-00024|Barcelona|Cusco|101.3|1|completado|Edgar Coronado|15082301|54656833|14/03/2026
TRP-00025|Iquitos|Amsterdam|103.73|3|completado|Edgar Coronado|15082301|65767934|06/03/2026
TRP-00026|Berlin|Rome|101.8|3|completado|Edgar Coronado|15082301|76879035|07/05/2026
TRP-00027|Cajamarca|Paris|102.61|3|completado|Edgar Coronado|15082301|87990136|03/03/2026
TRP-00028|Lima|Cusco|103.67|2|completado|Edgar Coronado|15082301|98901237|24/04/2026
TRP-00029|Milan|Lima|103.2|3|completado|Edgar Coronado|15082301|12012338|14/04/2026
TRP-00030|Huancayo|London|104.09|2|completado|Edgar Coronado|15082301|23123439|11/03/2026
TRP-00031|Huanuco|Huancayo|101.92|1|completado|Edgar Coronado|15082301|34234540|11/05/2026
TRP-00032|Arequipa|Rome|102.7|2|completado|Edgar Coronado|15082301|45345641|02/03/2026
TRP-00033|Arequipa|Lima|101.33|1|completado|Edgar Coronado|15082301|56456742|16/04/2026
TRP-00034|Barcelona|Trujillo|102.81|3|completado|Edgar Coronado|15082301|67567843|10/04/2026
TRP-00035|Lima|Trujillo|102.95|2|completado|Edgar Coronado|15082301|78678944|07/04/2026
TRP-00036|Rome|Amsterdam|103.29|2|completado|Edgar Coronado|15082301|89789045|30/03/2026
TRP-00037|Cusco|Piura|60.21|3|completado|Ramiro Romero|21983367|90890146|12/05/2026
TRP-00038|Rome|Junin|62.16|1|completado|Ramiro Romero|21983367|10901247|02/05/2026
TRP-00039|Huanuco|Rome|60.32|2|completado|Ramiro Romero|21983367|21012348|17/03/2026
TRP-00040|Huanuco|Paris|60.08|2|completado|Ramiro Romero|21983367|32123449|15/04/2026
TRP-00041|Huancayo|Milan|60.7|1|completado|Ramiro Romero|21983367|43234550|17/04/2026
TRP-00042|Piura|Amsterdam|62.55|1|completado|Ramiro Romero|21983367|54345651|14/05/2026
TRP-00043|Piura|Rome|61.06|2|completado|Ramiro Romero|21983367|65456752|04/04/2026
TRP-00044|Junin|Madrid|62.34|2|completado|Ramiro Romero|21983367|76567853|11/03/2026
TRP-00045|Junin|Chiclayo|62.32|1|completado|Ramiro Romero|21983367|87678954|11/04/2026
TRP-00046|Amsterdam|London|60.48|2|completado|Ramiro Romero|21983367|98789055|09/03/2026
TRP-00047|Iquitos|Paris|60.48|3|completado|Ramiro Romero|21983367|12890156|20/03/2026
TRP-00048|Amsterdam|Cajamarca|44.74|1|completado|Adrian Sanchez|49935621|23901257|20/04/2026
TRP-00049|Arequipa|Chiclayo|45.02|1|completado|Adrian Sanchez|49935621|34012358|15/04/2026
TRP-00050|Junin|Huanuco|44.93|3|completado|Adrian Sanchez|49935621|45123459|18/03/2026
TRP-00051|Milan|Lima|43.41|1|completado|Adrian Sanchez|49935621|56234560|27/04/2026
TRP-00052|Arequipa|Lima|43.6|1|completado|Adrian Sanchez|49935621|67345661|13/04/2026
TRP-00053|Madrid|Iquitos|18.07|2|completado|Maximo Galvez|90364307|78456762|25/04/2026
TRP-00054|Chiclayo|Cusco|17.01|3|completado|Maximo Galvez|90364307|89567863|20/03/2026
TRP-00055|Berlin|Madrid|17.24|1|completado|Maximo Galvez|90364307|90678964|07/03/2026
TRP-00056|Junin|Iquitos|20.98|2|completado|Maximo Galvez|90364307|10789065|16/04/2026
TRP-00057|Arequipa|Piura|40.18|3|completado|Maximo Hinojosa|67680553|21890166|03/05/2026
TRP-00058|Trujillo|Iquitos|38.18|1|completado|Maximo Hinojosa|67680553|32901267|29/03/2026
TRP-00059|Rome|Piura|37.8|1|completado|Maximo Hinojosa|67680553|43012368|29/04/2026
TRP-00060|Trujillo|Cusco|40.17|2|completado|Maximo Hinojosa|67680553|54123469|04/03/2026
TRP-00061|Iquitos|Lima|38.14|1|completado|Maximo Hinojosa|67680553|65234570|26/04/2026
TRP-00062|London|Cusco|40.83|2|completado|Maximo Hinojosa|67680553|76345671|05/04/2026
TRP-00063|Lima|Piura|104.81|1|completado|Tomas Torres|21574548|87456772|09/03/2026
TRP-00064|Amsterdam|Iquitos|106.92|3|completado|Tomas Torres|21574548|98567873|16/05/2026
TRP-00065|Huancayo|Paris|105.7|3|completado|Tomas Torres|21574548|12678974|14/03/2026
TRP-00066|Cusco|Iquitos|106.67|2|completado|Tomas Torres|21574548|23789075|25/03/2026
TRP-00067|Huancayo|London|107.09|3|completado|Tomas Torres|21574548|34890176|10/04/2026
TRP-00068|Paris|Cajamarca|104.47|2|completado|Tomas Torres|21574548|45901277|09/04/2026
TRP-00069|Huancayo|Milan|105.6|1|completado|Tomas Torres|21574548|56012378|15/03/2026
TRP-00070|Huancayo|Berlin|106.37|2|completado|Tomas Torres|21574548|67123479|13/05/2026
TRP-00071|Arequipa|London|106.24|2|completado|Tomas Torres|21574548|78234580|25/03/2026
TRP-00072|Arequipa|Berlin|107.03|3|completado|Tomas Torres|21574548|89345681|17/03/2026
TRP-00073|Madrid|Iquitos|104.35|1|completado|Tomas Torres|21574548|90456782|17/04/2026
TRP-00074|Piura|Cusco|105.18|3|completado|Tomas Torres|21574548|10567883|25/04/2026
TRP-00075|Lima|Trujillo|105.16|1|completado|Tomas Torres|21574548|21678984|01/04/2026
TRP-00076|Paris|Barcelona|104.91|1|completado|Tomas Torres|21574548|32789085|05/05/2026
TRP-00077|London|Amsterdam|209.68|2|completado|Andres Medina|97309598|43890186|17/05/2026
TRP-00078|Huanuco|Paris|208.27|3|completado|Andres Medina|97309598|54901287|16/05/2026
TRP-00079|Trujillo|Berlin|209.04|1|completado|Andres Medina|97309598|65012388|05/03/2026
TRP-00080|Huancayo|Barcelona|209.59|1|completado|Andres Medina|97309598|76123489|06/05/2026
TRP-00081|Amsterdam|Lima|208.42|3|completado|Andres Medina|97309598|87234590|09/05/2026
TRP-00082|Cusco|Arequipa|206.5|3|completado|Andres Medina|97309598|98345691|06/03/2026
TRP-00083|Barcelona|Chiclayo|112.74|3|completado|Sergio Yupanqui|23656985|12456792|25/03/2026
TRP-00084|Chiclayo|Lima|113.12|3|completado|Sergio Yupanqui|23656985|23567893|08/05/2026
TRP-00085|Barcelona|Huancayo|113.37|3|completado|Sergio Yupanqui|23656985|34678994|08/04/2026
TRP-00086|Amsterdam|Berlin|114.49|2|completado|Sergio Yupanqui|23656985|45789095|16/03/2026
TRP-00087|Rome|Tacna|113.38|3|completado|Sergio Yupanqui|23656985|56890196|13/04/2026
TRP-00088|Tacna|Cajamarca|113.12|2|completado|Sergio Yupanqui|23656985|67901297|20/03/2026
TRP-00089|Cusco|Piura|112.8|1|completado|Sergio Yupanqui|23656985|78012398|01/03/2026
TRP-00090|Junin|Barcelona|112.68|1|completado|Sergio Yupanqui|23656985|89123499|10/03/2026
TRP-00091|Rome|Berlin|113.49|2|completado|Sergio Yupanqui|23656985|90234500|09/03/2026
TRP-00092|Piura|Iquitos|114.69|1|completado|Sergio Yupanqui|23656985|10345601|07/04/2026
TRP-00093|London|Cusco|112.79|1|completado|Sergio Yupanqui|23656985|21456702|19/03/2026
TRP-00094|Milan|Rome|116.93|1|completado|Sergio Yupanqui|23656985|32567803|09/05/2026
TRP-00095|Cusco|Cajamarca|149.29|2|completado|Rodrigo Begazo|66664401|43678904|06/05/2026
TRP-00096|Cusco|Amsterdam|149.41|3|completado|Rodrigo Begazo|66664401|54789005|07/04/2026
TRP-00097|Trujillo|Arequipa|150.1|2|completado|Rodrigo Begazo|66664401|65890106|14/03/2026
TRP-00098|Cajamarca|Junin|149.38|2|completado|Rodrigo Begazo|66664401|76901207|27/04/2026
TRP-00099|Cajamarca|London|150.42|1|completado|Rodrigo Begazo|66664401|87012308|01/04/2026
TRP-00100|Rome|Tacna|150.87|1|completado|Rodrigo Begazo|66664401|98123409|07/05/2026
TRP-00101|Paris|Madrid|150.77|3|completado|Rodrigo Begazo|66664401|12234510|03/05/2026
TRP-00102|Huanuco|Chiclayo|151.32|3|completado|Rodrigo Begazo|66664401|23345611|07/05/2026
TRP-00103|Milan|Piura|151.93|3|completado|Rodrigo Begazo|66664401|34456712|22/04/2026
TRP-00104|Huancayo|Rome|150.28|3|completado|Rodrigo Begazo|66664401|45567813|31/03/2026
TRP-00105|Rome|Cajamarca|151.51|1|completado|Rodrigo Begazo|66664401|56678914|19/05/2026
TRP-00106|London|Milan|150.14|2|completado|Rodrigo Begazo|66664401|67789015|13/03/2026
TRP-00107|Madrid|Arequipa|149.14|3|completado|Rodrigo Begazo|66664401|78890116|23/03/2026
TRP-00108|Cajamarca|Lima|149.21|3|completado|Rodrigo Begazo|66664401|89901217|02/03/2026
TRP-00109|Huanuco|Iquitos|154.73|2|completado|Rodrigo Begazo|66664401|90012318|17/03/2026
TRP-00110|Milan|Piura|179.41|3|completado|Rodrigo Arriola|66166883|11123419|09/04/2026
TRP-00111|Arequipa|Chiclayo|178.38|2|completado|Rodrigo Arriola|66166883|12345611|04/04/2026
TRP-00112|Barcelona|Trujillo|177.48|3|completado|Rodrigo Arriola|66166883|87654312|08/04/2026
TRP-00113|Rome|Barcelona|177.52|2|completado|Rodrigo Arriola|66166883|23456712|08/05/2026
TRP-00114|Chiclayo|Rome|179.09|3|completado|Rodrigo Arriola|66166883|34567813|24/03/2026
TRP-00115|Milan|Iquitos|177.39|3|completado|Rodrigo Arriola|66166883|45678914|04/03/2026
TRP-00116|Trujillo|Arequipa|180.12|3|completado|Rodrigo Arriola|66166883|56789015|11/05/2026
TRP-00117|Iquitos|Huancayo|179.68|2|completado|Rodrigo Arriola|66166883|67890116|10/04/2026
TRP-00118|Milan|Chiclayo|178.06|1|completado|Rodrigo Arriola|66166883|78901217|25/03/2026
TRP-00119|Arequipa|Barcelona|177.54|1|completado|Rodrigo Arriola|66166883|89012318|07/03/2026
TRP-00120|Milan|Iquitos|178.99|1|completado|Rodrigo Arriola|66166883|90123419|14/05/2026
TRP-00121|Berlin|Piura|179.23|1|completado|Rodrigo Arriola|66166883|11223520|02/05/2026
TRP-00122|Chiclayo|Madrid|179.08|3|completado|Rodrigo Arriola|66166883|22334621|09/05/2026
TRP-00123|Milan|Chiclayo|177.87|2|completado|Rodrigo Arriola|66166883|33445722|13/05/2026
TRP-00124|Amsterdam|Tacna|180.16|3|completado|Rodrigo Arriola|66166883|44556823|13/04/2026
TRP-00125|London|Paris|210.96|3|completado|Leandro Farfan|90776217|55667924|21/04/2026
TRP-00126|Paris|Rome|211.89|3|completado|Leandro Farfan|90776217|66778025|09/05/2026
TRP-00127|London|Milan|210.86|2|completado|Leandro Farfan|90776217|77889126|06/04/2026
TRP-00128|Huancayo|Barcelona|212.03|1|completado|Leandro Farfan|90776217|88990227|04/04/2026
